"","YEAR","state_name","staterate_year","time_since_legalization","state_pop","time","timesq","time_leg_chunked"
"1",2001,"AK",0.0605879830726497,NA,633714,0,0,NA
"2",2001,"AL",0.125535946463166,NA,4467634,0,0,NA
"3",2001,"AR",0.105335684506779,NA,2691571,0,0,NA
"4",2001,"AZ",0.547654175272942,NA,5273477,0,0,NA
"5",2001,"CA",1.48689448793652,NA,34479458,0,0,NA
"6",2001,"CO",0.223140771995475,NA,4425687,0,0,NA
"7",2001,"CT",0.225091981304402,NA,3432835,0,0,NA
"8",2001,"DE",0.0584389580636449,NA,795699,0,0,NA
"9",2001,"FL",0.758451173175604,NA,16356966,0,0,NA
"10",2001,"GA",0.274848179101068,NA,8377038,0,0,NA
"11",2001,"IA",0.0453500885854062,NA,2931997,0,0,NA
"12",2001,"ID",0.16359000605283,NA,1319962,0,0,NA
"13",2001,"IL",0.778967398504209,NA,12488445,0,0,NA
"14",2001,"IN",0.275547588423673,NA,612776,0,0,NA
"15",2001,"KS",0.342609194915454,NA,2702162,0,0,NA
"16",2001,"KY",0.0216729643903772,NA,4068132,0,0,NA
"17",2001,"LA",0.014508286103402,NA,4477875,0,0,NA
"18",2001,"MA",0.083504716823576,NA,6397634,0,0,NA
"19",2001,"MD",0.374829731094198,NA,5374691,0,0,NA
"20",2001,"ME",0.180460125067552,NA,1285692,0,0,NA
"21",2001,"MI",0.0676604242706604,NA,999112,0,0,NA
"22",2001,"MN",0.288761762063153,NA,4982796,0,0,NA
"23",2001,"MO",0.422648438317588,NA,5641142,0,0,NA
"24",2001,"NC",0.703562368396467,NA,8210122,0,0,NA
"25",2001,"ND",0.0244702197425733,NA,639062,0,0,NA
"26",2001,"NE",0.122982285416915,NA,1719836,0,0,NA
"27",2001,"NH",0.265489002673603,NA,1255517,0,0,NA
"28",2001,"NJ",0.16988831460728,NA,8492671,0,0,NA
"29",2001,"NM",0.226376088324092,NA,183169,0,0,NA
"30",2001,"NV",0.048603354566145,NA,2098399,0,0,NA
"31",2001,"NY",0.746642464639251,NA,19082838,0,0,NA
"32",2001,"OH",0.346353338656867,NA,11387404,0,0,NA
"33",2001,"OR",0.160704620615494,NA,3467937,0,0,NA
"34",2001,"PA",0.856466816410375,NA,1229897,0,0,NA
"35",2001,"RI",0.0383487585758581,NA,1057142,0,0,NA
"36",2001,"SC",0.295711711542832,NA,4064995,0,0,NA
"37",2001,"SD",0.0172362389594902,NA,757972,0,0,NA
"38",2001,"TN",0.116915229387209,NA,5750789,0,0,NA
"39",2001,"TX",0.937374346602332,NA,21319622,0,0,NA
"40",2001,"UT",0.170737435415688,NA,2283715,0,0,NA
"41",2001,"VA",0.394610731212968,NA,7198362,0,0,NA
"42",2001,"VT",0.0461407245491958,NA,612223,0,0,NA
"43",2001,"WA",0.901336447882362,NA,5985722,0,0,NA
"44",2001,"WI",0.278068591842526,NA,5406835,0,0,NA
"45",2001,"DC",0,NA,574504,0,0,NA
"46",2001,"HI",0,NA,1225948,0,0,NA
"47",2001,"MS",0,NA,2852994,0,0,NA
"48",2001,"OK",0,NA,34671,0,0,NA
"49",2001,"WV",0,NA,1801481,0,0,NA
"50",2001,"WY",0,NA,494657,0,0,NA
"51",2002,"AK",0,NA,642337,1,1,NA
"52",2002,"AL",0,NA,4480089,1,1,NA
"53",2002,"AR",0,NA,2705927,1,1,NA
"54",2002,"AZ",0.343716541421095,NA,5396255,1,1,NA
"55",2002,"CA",1.84365595204977,NA,34871843,1,1,NA
"56",2002,"CO",0.34523081762123,NA,4490406,1,1,NA
"57",2002,"CT",0,NA,3458749,1,1,NA
"58",2002,"DE",0.0582635972977491,NA,806169,1,1,NA
"59",2002,"FL",1.24629467608613,NA,1668937,1,1,NA
"60",2002,"GA",0.225612672370836,NA,8508256,1,1,NA
"61",2002,"IA",0.109905886895951,NA,2934234,1,1,NA
"62",2002,"ID",0.0790392775810029,NA,1340372,1,1,NA
"63",2002,"IL",0.644321659690777,NA,12525556,1,1,NA
"64",2002,"IN",0.285037912318595,NA,6155967,1,1,NA
"65",2002,"KS",0.25935871266919,NA,2713535,1,1,NA
"66",2002,"KY",0.366012747083452,NA,4089875,1,1,NA
"67",2002,"LA",0.254480587825451,NA,4497267,1,1,NA
"68",2002,"MA",0.497822983765752,NA,6417206,1,1,NA
"69",2002,"MD",0.287010045351587,NA,5440389,1,1,NA
"70",2002,"ME",0.0609116102059668,NA,129596,1,1,NA
"71",2002,"MI",0,NA,1001571,1,1,NA
"72",2002,"MN",0.462855705107605,NA,5018935,1,1,NA
"73",2002,"MO",0.332360934500212,NA,5674825,1,1,NA
"74",2002,"NC",0.804282774207396,NA,8326201,1,1,NA
"75",2002,"ND",0,NA,638168,1,1,NA
"76",2002,"NE",0.134017875619586,NA,1728292,1,1,NA
"77",2002,"NH",0.101278174922932,NA,1269089,1,1,NA
"78",2002,"NJ",0.423202770420036,NA,8552643,1,1,NA
"79",2002,"NM",0,NA,1855309,1,1,NA
"80",2002,"NV",0.0951338066900868,NA,2173791,1,1,NA
"81",2002,"NY",0.701339159816244,NA,191378,1,1,NA
"82",2002,"OH",0.50875999622952,NA,11407889,1,1,NA
"83",2002,"OR",0.648837197663886,NA,3513424,1,1,NA
"84",2002,"PA",0.391618125582688,NA,12331031,1,1,NA
"85",2002,"RI",0.0330981879977078,NA,1065995,1,1,NA
"86",2002,"SC",0.122155184161949,NA,4107795,1,1,NA
"87",2002,"SD",0.0100645604732798,NA,76002,1,1,NA
